1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;;;
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl;;;;;
------;Straftaten insgesamt;5911;Bochum;KfS;27,669;7,568;1,930;7;34;23;15,028;54.3;10,627;8,020;2,607;3,434;32.3;0;;5911;Bochum;365,587
------;Straftaten insgesamt;5913;Dortmund;KfS;61,769;10,500;4,738;7.7;61;65;35,182;57;22,590;17,054;5,536;9,817;43.5;0;;5913;Dortmund;588,250
------;Straftaten insgesamt;5914;Hagen;KfS;14,014;7,427;876;6.3;24;13;8,404;60;6,163;4,666;1,497;2,347;38.1;0;;5914;Hagen;188,686
------;Straftaten insgesamt;5915;Hamm;KfS;15,553;8,645;1,208;7.8;15;5;8,548;55;5,920;4,573;1,347;2,277;38.5;0;;5915;Hamm;179,916
------;Straftaten insgesamt;5916;Herne;KfS;12,828;8,199;979;7.6;13;10;6,863;53.5;4,783;3,614;1,169;1,593;33.3;0;;5916;Herne;156,449
------;Straftaten insgesamt;5954;Ennepe-Ruhr-Kreis;K;17,386;5,364;1,274;7.3;23;19;9,918;57;6,466;4,923;1,543;1,795;27.8;0;;5954;Ennepe-Ruhr-Kreis;324,106
------;Straftaten insgesamt;5958;Hochsauerlandkreis;K;12,437;4,788;827;6.6;12;28;7,442;59.8;5,681;4,309;1,372;1,172;20.6;0;;5958;Hochsauerlandkreis;259,777
------;Straftaten insgesamt;5962;Märkischer Kreis;K;20,161;4,915;1,552;7.7;30;24;11,339;56.2;8,870;6,659;2,211;2,344;26.4;0;;5962;Märkischer Kreis;410,222
------;Straftaten insgesamt;5966;Olpe;K;5,259;3,926;341;6.5;7;11;3,369;64.1;2,454;1,929;525;653;26.6;0;;5966;Olpe;133,955
------;Straftaten insgesamt;5970;Siegen-Wittgenstein;K;13,581;4,904;792;5.8;24;42;8,699;64.1;5,885;4,450;1,435;1,799;30.6;0;;5970;Siegen-Wittgenstein;276,944
------;Straftaten insgesamt;5974;Soest;K;15,573;5,160;1,100;7.1;23;19;8,955;57.5;6,357;4,961;1,396;1,717;27;0;;5974;Soest;301,785
------;Straftaten insgesamt;5978;Unna;K;21,886;5,542;1,608;7.3;22;17;11,474;52.4;8,973;6,810;2,163;2,538;28.3;0;;5978;Unna;394,891
------;Straftaten insgesamt;6411;Darmstadt;KfS;9,600;6,005;562;5.9;4;4;6,112;63.7;4,509;3,500;1,009;1,889;41.9;0;;6411;Darmstadt;159,878
------;Straftaten insgesamt;6412;Frankfurt am Main;KfS;102,897;13,479;7,039;6.8;47;51;70,000;68;46,208;32,733;13,475;31,253;67.6;0;;6412;Frankfurt am Main;763,380
------;Straftaten insgesamt;6413;Offenbach am Main;KfS;9,481;7,277;634;6.7;9;5;6,259;66;4,989;3,888;1,101;2,646;53;0;;6413;Offenbach am Main;130,280
------;Straftaten insgesamt;6414;Wiesbaden;KfS;19,218;6,901;1,188;6.2;9;10;12,612;65.6;8,697;6,547;2,150;3,386;38.9;0;;6414;Wiesbaden;278,474
------;Straftaten insgesamt;6431;Bergstraße;LK;8,442;3,123;505;6;9;2;5,610;66.5;4,193;3,266;927;1,387;33.1;0;;6431;Bergstraße;270,340
------;Straftaten insgesamt;6432;Darmstadt-Dieburg;LK;8,493;2,851;539;6.3;9;7;5,541;65.2;4,442;3,513;929;1,530;34.4;0;;6432;Darmstadt-Dieburg;297,844
------;Straftaten insgesamt;6433;Groß-Gerau;LK;10,843;3,933;507;4.7;10;4;7,219;66.6;5,605;4,532;1,073;2,322;41.4;0;;6433;Groß-Gerau;275,726
------;Straftaten insgesamt;6434;Hochtaunuskreis;LK;8,698;3,671;702;8.1;12;4;5,525;63.5;4,069;3,214;855;1,378;33.9;0;;6434;Hochtaunuskreis;236,914
------;Straftaten insgesamt;6435;Main-Kinzig-Kreis;LK;16,465;3,915;1,173;7.1;19;33;11,065;67.2;8,516;6,519;1,997;3,128;36.7;0;;6435;Main-Kinzig-Kreis;420,552
------;Straftaten insgesamt;6436;Main-Taunus-Kreis;LK;9,625;4,035;797;8.3;11;8;5,839;60.7;4,315;3,352;963;1,664;38.6;0;;6436;Main-Taunus-Kreis;238,558
------;Straftaten insgesamt;6437;Odenwaldkreis;LK;2,558;2,645;158;6.2;0;0;1,792;70.1;1,503;1,151;352;442;29.4;0;;6437;Odenwaldkreis;96,703
------;Straftaten insgesamt;6438;Offenbach;LK;14,060;3,952;1,113;7.9;14;17;8,437;60;6,608;5,239;1,369;2,767;41.9;0;;6438;Offenbach;355,813
------;Straftaten insgesamt;6439;Rheingau-Taunus-Kreis;LK;5,197;2,777;255;4.9;2;10;3,626;69.8;2,662;2,059;603;778;29.2;0;;6439;Rheingau-Taunus-Kreis;187,160
------;Straftaten insgesamt;6440;Wetteraukreis;LK;10,155;3,293;644;6.3;11;21;6,509;64.1;5,333;4,123;1,210;1,744;32.7;0;;6440;Wetteraukreis;308,339
------;Straftaten insgesamt;6531;Gießen;LK;15,801;5,837;795;5;11;24;11,247;71.2;8,750;6,497;2,253;4,714;53.9;0;;6531;Gießen;270,688
